index,number,word,meaning,type
52,52,skill,技能；熟練,main
53,53,matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,main
54,54,view,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め,main
55,55,value,価値；価格；評価；〔～s〕価値観,main
56,56,species,（生物の）種；種類,main
57,57,thought,考え；思考,main
58,58,knowledge,知識；知っていること；認識,main
59,59,memory,記憶（力）；（～の）思い出（of）,main
60,60,practice,実践，実行；（社会の）慣習；練習,main
61,61,benefit,利益，恩恵；給付金,main
62,62,theory,学説；理論；原理；推測,main
63,63,issue,問題（点）；発行（物）；発表,main
64,64,experiment,（～を対象とする）実験（on）,main
65,65,article,記事；条項；品物,main
66,66,focus,焦点；関心の的,main
67,67,subject,話題；科目；主題；被験者,main
68,68,project,計画；事業；研究計画,main
69,69,quality,質；特質,main
70,70,role,役割；（俳優などの）役,main
71,71,term,（専門）用語；〔～s〕条件；〔～s〕間柄；学期,main
72,72,statement,声明；主張；明細書,main
73,73,material,材料，素材；資料；生地,main
74,74,evidence,証拠,main
75,75,source,（～の）源，根源（of）；出所，情報源,main
76,76,community,（共同）社会，～界；地域社会；地域住民,main
77,77,technology,科学技術；応用技術,main
78,78,culture,文化；教養；耕作；養殖；培養,main
79,79,appropriate,（～に）適切な（for / to）,main
80,80,likely,ありそうな（⇔ unlikely ありそうもない）,main
81,81,possible,可能な；可能性のある,main
82,82,individual,個々の；個人の,main
83,83,public,公の（⇔ private 私的な）；公衆の；公開の,main
84,84,common,共通の；普通の；一般の,main
85,85,certain,確信して；確かな；ある；一定の,main
86,86,similar,似ている，類似した；同様の,main
87,87,recent,最近の,main
88,88,major,主要な；大きい（ほうの）；長調の,main
89,89,patient,忍耐強い；勤勉な,main
90,90,particular,特定の；特別の；（～について）やかましい（about）,main
91,91,physical,身体の（⇔ mental ⇒ 183）；物質的な；物理学の,main
92,92,various,さまざまな；いくつかの,main
93,93,available,手に入る；利用できる；手が空いている,main
94,94,native,出生地の；原産の；生得の,main
95,95,political,政治（上）の,main
96,96,due,予定された；（支払）期日で；しかるべき,main
97,97,blank,空白の；無表情な；がらんとした,main
98,98,ancient,古代の；昔からの,main
99,99,correct,正しい；適切な,main
100,100,despite,～にもかかわらず（≒ in spite of）,main
101,101,notice,に気づく,main
102,102,refer,言及する，関連する；参照する,main
103,103,approach,に近づく；に取り組む,main
104,104,wonder,かなと思う；（に）驚く（at）,main
105,105,imagine,（を）想像する；（を）推測する,main
106,106,recognize,を識別できる；を認める,main
107,107,solve,を解く，解明する；（困難など）を解決する,main
108,108,occur,起こる；心に浮かぶ；現れる,main
109,109,argue,と主張する；議論する,main
110,110,claim,と主張する；を（自分のものとして）要求する,main
111,111,express,を表す，述べる,main
112,112,draw,を引き出す；を引く；を描く；近づく,main
113,113,waste,を浪費する，無駄にする,main
114,114,advance,を進歩させる；を進める；進歩する；進む,main
115,115,spread,を広める；広がる,main
116,116,prepare,を準備する；を調理する；（～のために）準備をする（for）,main
117,117,gain,を獲得する；（を）増す,main
118,118,achieve,を達成する；を成し遂げる,main
119,119,establish,を確立する；を設立する,main
120,120,supply,を供給する,main
121,121,suppose,と思う；と仮定する,main
122,122,perform,（を）行う；（を）演じる，（を）演奏する,main
123,123,prefer,のほうを好む,main
124,124,determine,を決定する；を正確に知る,main
125,125,treat,を扱う；を治療する,main
126,126,prove,を証明する；判明する，わかる,main
127,127,apply,を適用［応用］する；申し込む；（～に）適用される（to / in）,main
128,128,mention,に言及する；と言う,main
129,129,communicate,（～と）情報交換をする（with）；を伝達する,main
130,130,contain,を含む；を収容する；（感情など）を抑える,main
131,131,contact,と連絡を取る；接触する,main
132,132,regard,を見なす；を見る；を評価する,main
133,133,respect,を尊敬する；を尊重する,main
134,134,search,捜す；を捜索する；を詳しく調べる,main
135,135,connect,をつなぐ；を関連づける,main
136,136,decline,減少する；衰退する；を断る,main
137,137,prevent,を妨げる；を防ぐ,main
138,138,suffer,苦しむ；患う；（苦痛など）を経験する,main
139,139,survive,を切り抜けて生き残る；より長生きする；生き延びる,main
140,140,publish,を出版する；を公表する,main
141,141,opportunity,機会（≒ chance）,main
142,142,task,（課せられた）仕事，作業；課題；タスク,main
143,143,industry,産業；勤勉（≒ diligence）,main
144,144,medium,（情報伝達の）媒体；手段,main
145,145,economy,経済（状態）；経済圏；節約,main
146,146,policy,政策，方針；（個人の）主義,main
147,147,account,説明；勘定；口座,main
148,148,trade,貿易；商売，取引,main
149,149,model,模範；モデル；模型；型,main
150,150,figure,数字；姿；人物；図表,main
151,151,cell,細胞；独房；電池,main
152,152,image,印象，イメージ；画像；像,main
153,153,emotion,感情，情動；感動,main
154,154,stress,ストレス；圧力；強調,main
155,155,decade,10年間,main
156,156,range,範囲；射程距離；（同類の）組,main
157,157,character,性格，個性；特徴；登場人物；文字,main
158,158,advantage,利点；優勢；有利,main
159,159,phrase,句；成句；言葉遣い,main
160,160,damage,損害，損傷；〔～s〕損害賠償金,main
161,161,impact,影響；（激しい）衝突；衝撃（力）,main
162,162,method,方法；体系；秩序,main
163,163,resource,〔通例～s〕資源；〔通例～s〕資金；才覚,main
164,164,region,地域；領域；部位,main
165,165,medicine,薬；医学,main
166,166,detail,〔～s〕詳細（な情報），細部,main
167,167,feature,特徴；〔通例～s〕顔つき；特集記事［番組］,main
168,168,function,機能；関数,main
169,169,access,利用，入手；接近（の機会・方法・権利）,main
170,170,item,品目，項目；（同種の中の）～個；（短い）記事,main
171,171,income,収入；所得,main
172,172,attitude,態度；考え方，心構え,main
173,173,site,用地，場所；跡地；（ウェブ）サイト,main
174,174,aspect,（物事の）側面；観点；様相,main
175,175,structure,構造；体系；構造物,main
176,176,habit,習慣，癖,main
177,177,link,関連，つながり；（2地点を結ぶ）交通手段；リンク,main
178,178,instance,（具体的な）例，実例；（特定の）場合,main
179,179,positive,肯定的な；積極的な；確信して；（検査結果が）陽性の,main
180,180,negative,否定的な；消極的な；（検査結果が）陰性の,main
181,181,complex,複雑な；複合（体）の,main
182,182,current,現在の；現代の；通用している,main
183,183,mental,精神の；知能の；頭の中で行う,main
184,184,specific,特定の；明確な，具体的な；（～に）特有の（to）,main
185,185,significant,重要な，重大な；意義深い,main
186,186,essential,（～に）必要不可欠な（to / for）；本質的な,main
187,187,official,公用の；公式の；役所の,main
188,188,financial,財政（上）の；財界の,main
189,189,academic,学問の；大学の,main
190,190,aware,気づいて，知って,main
191,191,worth,（...する）に値する（doing）；の価値がある,main
192,192,potential,潜在的な；可能性を秘めた,main
193,193,active,積極的な；活動的な；効力のある,main
194,194,digital,デジタル方式の；デジタル［数字］表示の,main
195,195,mobile,可動［移動］式の；流動性のある,main
196,196,novel,斬新な，目新しい,main
197,197,plastic,柔軟な；プラスチックの，ビニールの,main
198,198,chemical,化学の，化学的な,main
199,199,necessary,必要な（≒ essential ⇒ 186）,main
200,200,eventually,結局（は）,main
201,201,identify,を特定する；を（～と）同一視する（with）,main
202,202,represent,を表す；を代表する；に相当する,main
203,203,indicate,を指し示す；を述べる,main
204,204,manage,をなんとか成し遂げる；を管理する,main
205,205,attend,に出席する；（を）世話する；（～に）対処［対応］する（to）,main
206,206,maintain,を維持する；と主張する；を養う,main
207,207,survey,を調査する；をじろじろ見る；を概観する,main
208,208,replace,に取って代わる；を取り替える,main
209,209,sort,を（～に）分類する（into）；を（～から）えり分ける（from）,main
210,210,conduct,（調査・実験など）を実施する；を導く,main
211,211,associate,を結び付けて考える；（～と）交際する（with）,main
212,212,attempt,を試みる，企てる,main
213,213,promote,を促進する；〔通例受身形で〕昇進する,main
214,214,earn,を稼ぐ；を得る；をもたらす,main
215,215,unite,を団結させる；（を）結合する；団結する,main
216,216,feed,に食べ物［乳］を与える；に（～を）供給［補給］する（with）；餌を食べる,main
217,217,seek,を追い求める；（助けなど）を要請する,main
218,218,observe,に気づく；を観察する；を遵守する,main
219,219,reveal,を明らかにする；を見せる,main
220,220,estimate,と推定する；を見積もる；を評価する,main
221,221,reflect,を反映する；（を）反射する；（を）熟考する,main
222,222,attract,を引きつける,main
223,223,decrease,減少する（⇔ increase ⇒ 2）；を減らす,main
224,224,ignore,を無視する,main
225,225,match,（と）合う；に匹敵する；一致する,main
226,226,define,を定義する；を明確にする,main
227,227,adapt,適応する；を（～に）適合させる（to）,main
228,228,contribute,貢献する，一因となる；（を）寄付する；（を）寄稿する,main
229,229,exchange,（を）交換する；両替する,main
230,230,display,を示す；を発揮する；を展示［陳列］する,main
231,231,respond,反応する；答える,main
232,232,hide,を隠す（≒ conceal ⇒ 1116）；隠れる,main
233,233,doubt,ではないと思う；を疑う,main
234,234,remove,を取り除く；を解雇する,main
235,235,wind,（ねじなど）を巻く；（道などが）曲がりくねる；巻きつく,main
236,236,assume,を当然のことと思う，と仮定する；（権力など）を手に入れる；（責任など）を引き受ける,main
237,237,relax,くつろぐ；緩む；をくつろがせる；を緩める,main
238,238,satisfy,を満足させる；（条件など）を満たす,main
239,239,desire,を強く望む,main
240,240,succeed,（～に）成功する（in）；（～を）継承する（to）,main
241,241,concept,概念；考え；（商品・販売の）コンセプト,main
242,242,fashion,流行，ファッション；方法，流儀,main
243,243,device,装置，機器；方策；デバイス,main
244,244,charge,料金；世話；管理；告発,main
245,245,contrast,（～との）対照（with / to）,main
246,246,colleague,（職場の）同僚,main
247,247,pain,苦痛，痛み；苦悩；〔～s〕骨折り,main
248,248,bill,請求書；【英】勘定書（≒ 【米】check）；法案,main
249,249,content,内容，中身；コンテンツ,main
250,250,section,部門；部分；地区；欄,main
251,251,audience,〔集合的に〕聴衆，観客；視聴者,main
252,252,surface,表面；〔the ～〕外見,main
253,253,crop,〔しばしば～s〕作物；収穫高,main
254,254,topic,話題，トピック；主題,main
255,255,technique,技術；技巧；手法,main
256,256,status,地位；状態,main
257,257,option,選択（の自由）；選択肢,main
258,258,reward,報酬；報い,main
259,259,race,人種；民族；競争,main
260,260,crime,罪，犯罪；違法行為,main
261,261,conflict,争い；論争；不一致,main
262,262,struggle,闘い；懸命の努力,main
263,263,context,状況，背景；文脈,main
264,264,debate,討論，論争；討論会,main
265,265,fuel,燃料；勢いを増加させるもの,main
266,266,pollution,汚染，公害,main
267,267,trend,（～への）傾向（toward）；流行,main
268,268,balance,均衡，バランス；（体の）平衡；残高,main
269,269,traffic,交通；通行；交通［輸送］量；（不正）取引,main
270,270,strategy,戦略,main
271,271,basis,基礎；根拠；基準,main
272,272,consequence,〔通例～s〕結果；重大性,main
273,273,aim,目的，目標；狙い,main
274,274,ancestor,祖先（⇔ descendant 子孫）；原型,main
275,275,gene,遺伝子,main
276,276,track,跡；軌道；【米】（鉄道の）番線；走路,main
277,277,revolution,革命；回転；（天体の）公転（⇔ rotation 自転）,main
278,278,progress,進歩；前進,main
279,279,cognitive,認知の,main
280,280,ideal,理想的な；観念的な,main
281,281,efficient,効率的な；有能な,main
282,282,universal,普遍的な；宇宙の；万能の,main
283,283,vast,莫大な；広大な,main
284,284,extra,追加の，余分の；別勘定の,main
285,285,entire,全体の，全部の（≒ whole）；完全な,main
286,286,familiar,精通している；よく知られている,main
287,287,obvious,明らかな（≒ clear）,main
288,288,moral,道徳（上）の，倫理的な；道徳的な,main
289,289,ordinary,一般の，普通の；並の,main
290,290,equal,（～に）等しい（to）；匹敵する；平等な,main
291,291,previous,以前の，前の,main
292,292,false,間違った；虚偽の；偽の,main
293,293,rare,まれな，珍しい；希少な,main
294,294,legal,法律の；合法の（⇔ illegal 違法の）,main
295,295,independent,（～から）独立した（of / from）,main
296,296,extreme,極端な；極度の，過激な,main
297,297,actual,実際の，現実の,main
298,298,willing,いとわない，かまわないと思う,main
299,299,urban,都市の；都会的な（⇔ rural ⇒ 387）,main
300,300,whereas,～するのに（対し），～する一方,main
301,301,predict,を予言［予測］する,main
302,302,examine,を調べる；を診察する；を尋問する,main
303,303,trust,を信頼する；を（信頼して）託す,main
304,304,stick,を動けなくする；を突き刺す；（～に）くっつく（to / on）,main
305,305,emerge,現れる；明らかになる；台頭する,main
306,306,vary,さまざまである；変わる；を変える,main
307,307,release,を放出する；を解放する；を発表する,main
308,308,divide,を分ける；分かれる,main
309,309,enable,（人）が...できるようにする；を可能にする,main
310,310,judge,（を）判断する；に判決を下す,main
311,311,rely,頼る（≒ depend ⇒ 36）,main
312,312,engage,を従事させる；を（～として）雇う（as）；（～に）従事する（in / with）,main
313,313,shift,を変える，移す；変わる；移動する,main
314,314,adopt,を採用する；（態度など）をとる；を養子にする,main
315,315,acquire,を得る；を習得する,main
316,316,expand,（を）拡大する；（を）詳説する,main
317,317,refuse,を拒む；を断る；拒絶する,main
318,318,strike,の心を打つ；を襲う；を打つ；（に）ぶつかる,main
319,319,repeat,（を）繰り返す；を復唱する,main
320,320,consume,を消費する；を食べる，飲む,main
321,321,confuse,を混同する；を当惑させる,main
322,322,select,を選ぶ，えり抜く,main
323,323,evolve,（徐々に）発展する；進化する,main
324,324,convince,を納得［確信］させる,main
325,325,recall,を思い出す；を呼び戻す,main
326,326,destroy,を破壊する；（人）を破滅させる,main
327,327,preserve,を保存する；を保持する；を保護する,main
328,328,organize,を準備する；を組織する,main
329,329,warn,（人）に（～を）警告［注意］する（of / against）,main
330,330,address,（問題など）に対処する；に演説する；（手紙など）を（～宛てに）出す（to）,main
331,331,operate,を操作する；機能する；手術する,main
332,332,participate,参加する,main
333,333,surround,を取り巻く；にまつわる,main
334,334,flow,流れる；（～から）生じる（from）,main
335,335,bore,（人）を退屈させる，うんざりさせる,main
336,336,complain,（と）不平［苦情］を言う；訴える,main
337,337,host,を主催する；のホスト役を務める,main
338,338,combine,を（～と）結び付ける（with）；（～と）結び付く（with）,main
339,339,extend,を伸［延］ばす；伸びる；及ぶ,main
340,340,appreciate,を正当に評価する；を鑑賞する；を感謝する,main
341,341,target,（到達・攻撃）目標；的,main
342,342,element,要素，成分；元素；〔an / ofで〕少しの,main
343,343,principle,原則，原理；主義，信条,main
344,344,phenomenon,現象,main
345,345,atmosphere,〔the ～〕大気；雰囲気,main
346,346,origin,起源；源,main
347,347,personality,個性，性格,main
348,348,capacity,（最大）容量，収容能力；（潜在）能力,main
349,349,profit,利益；収益（率）；得,main
350,350,circumstance,〔通例～s〕状況，事情；境遇,main
351,351,manner,〔～s〕作法；方法；物腰,main
352,352,threat,脅威；（悪い）兆し；脅迫,main
353,353,resident,居住者；滞在者,main
354,354,wealth,富；資源；富裕,main
355,355,institution,機関；協会；施設；制度,main
356,356,authority,〔通例 the ～ties〕（関係）当局；権威；権限,main
357,357,vote,投票；投票結果；〔the ～〕選挙権,main
358,358,sight,光景；〔the ～s〕名所；見（え）ること；視野；視力,main
359,359,campaign,運動；軍事行動,main
360,360,fund,〔しばしば～s〕基金，資金,main
361,361,web,〔the W-〕ウェブ；（クモの）巣,main
362,362,symbol,象徴，シンボル；記号；標章,main
363,363,analysis,分析（結果）（⇔ synthesis ⇒ 1868）,main
364,364,version,（本・製品などの）版；解釈,main
365,365,perspective,観点，見方；大局観；遠近法,main
366,366,crisis,危機,main
367,367,disaster,災害；惨事,main
368,368,lecture,講義，講演；説教,main
369,369,psychology,心理学；心理（状態）,main
370,370,gender,（社会的・文化的）性，性別,main
371,371,custom,（社会的な）慣習；〔～s〕税関；〔～s〕関税,main
372,372,court,裁判所，法廷；裁判；宮廷；中庭,main
373,373,desert,砂漠；不毛の地,main
374,374,soil,土地，土壌；（悪事などの）温床,main
375,375,agriculture,農業；農学，畜産,main
376,376,fossil,化石；時代遅れの人［物］,main
377,377,document,（公）文書，書類；記録，資料,main
378,378,vocabulary,語彙,main
379,379,intelligent,聡明な；知能を有する,main
380,380,conscious,意識して，気づいて（≒ aware）,main
381,381,capable,能力がある；有能な,main
382,382,accurate,正確な；精密な,main
383,383,fundamental,基本的な；必須の,main
384,384,artificial,人工の（⇔ natural 自然の）；不自然な,main
385,385,firm,確固たる；堅固な；安定した,main
386,386,overall,総合的な；全体的な,main
387,387,rural,田舎の（⇔ urban ⇒ 299），田園の,main
388,388,military,軍の，軍事（用）の,main
389,389,nuclear,核の，原子力の,main
390,390,biological,生物学（上）の,main
391,391,constant,絶え間ない；一定の,main
392,392,severe,（人・規律・事態・天気などが）厳しい；猛烈な,main
393,393,visual,視覚の；目に見える,main
394,394,enormous,莫大な，巨大な,main
395,395,convenient,便利な，都合のいい,main
396,396,domestic,家庭の；国内の；（動物が）飼いならされた,main
397,397,mass,大規模な，大量の；大衆（向け）の,main
398,398,typical,典型的な；（～に）特有の（of）,main
399,399,overseas,海外へ［に，で］（≒ abroad）,main
400,400,nevertheless,それにもかかわらず（≒ nonetheless ⇒ 1000）,main
401,401,demonstrate,を論証［証明］する；デモをする,main
402,402,behave,振る舞う；作動する,main
403,403,educate,を教育する；に教える；（能力など）を養う,main
404,404,purchase,を購入する,main
405,405,recommend,を勧める,main
406,406,admit,（を）（しぶしぶ）認める；に（～への）入場［入学など］を認める（to / into）,main
407,407,generate,を生み出す；（電気など）を発生させる,main
408,408,explore,（を）調査［探究］する；（を）探検［探査］する,main
409,409,amaze,をびっくりさせる,main
410,410,tear,を引き裂く；裂ける,main
411,411,settle,を解決する；（に）移り住む；を落ち着かせる,main
412,412,afford,を持つ［する］余裕がある；を与える,main
413,413,conclude,と結論づける；を締めくくる；を締結する,main
414,414,advertise,を宣伝する；（～を求める）広告を出す（for）,main
415,415,encounter,に遭遇する；に（思いがけず）出会う,main
416,416,remind,に思い出させる,main
417,417,locate,〔受身形で〕位置する；の位置を探し当てる,main
418,418,aid,を援助する，助ける（≒ help）,main
419,419,bite,（を）かむ，（に）かみつく；（を）刺す,main
420,420,deliver,を配達する；（演説・講義）をする；子を産む,main
421,421,perceive,に気づく；を知覚する；を理解する,main
422,422,distinguish,を区別する,main
423,423,imply,を暗に意味する；を必然的に伴う,main
424,424,handle,を処理する，扱う；を論じる；を商う,main
425,425,praise,を（～のことで）賞賛する（for）；賛美する,main
426,426,appeal,訴える；抗議する；（上級審に）上訴する,main
427,427,insist,（を）強く主張する；要求する,main
428,428,compete,競う；〔通例否定文で〕（～に）匹敵する（with）,main
429,429,rank,を位置づける，評価する；（ある地位に）位置する,main
430,430,deny,を否定する；を拒む,main
431,431,reject,を拒否する,main
432,432,intend,を意図する,main
433,433,expose,をさらす；を暴露する；を露出する,main
434,434,favor,に賛成する；を好む；をひいきする,main
435,435,inspire,（人）を奮起させる；を喚起する,main
436,436,propose,を提案する；をもくろむ；結婚を申し込む,main
437,437,spell,（語）をつづる；という語になる,main
438,438,breathe,呼吸する；を吸う,main
439,439,repair,を修理する（≒ fix）；を修復する,main
440,440,consist,（～から）成る（of）；（～に）ある（in）,main
441,441,comment,意見，コメント；批判,main
442,442,instruction,〔通例～s〕指示；〔～s〕（製品の）使用書,main
443,443,religion,宗教；信条；信仰（心）,main
444,444,neighborhood,地域；近所,main
445,445,laboratory,実験室，研究室,main
446,446,presence,存在；出席；面前,main
447,447,confidence,自信；信頼；秘密,main
448,448,harm,害，損害,main
449,449,instrument,器具；楽器（≒ musical instrument）,main
450,450,category,部類，区分；範疇,main
451,451,capital,資本；首都；大文字（≒ capital letter）,main
452,452,outcome,結果（≒ result）；成果,main
453,453,notion,概念，観念；見解；意向,main
454,454,review,（書物などの）論評；再調査；【米】復習,main
455,455,trait,特性（≒ feature）,main
456,456,diversity,多様性；相違点,main
457,457,victim,犠牲（者），被害者,main
458,458,occasion,場合，時；行事；機会,main
459,459,facility,施設，設備；機能；才能,main
460,460,stock,在庫品；蓄え；株,main
461,461,conference,会議；協議,main
462,462,humanity,人類；人間性；人情；〔（the） ～ties〕人文科学,main
463,463,dialect,方言,main
464,464,proportion,割合；部分；釣り合い,main
465,465,tip,助言，秘訣；チップ；先端,main
466,466,lawyer,弁護士,main
467,467,stuff,（漠然と）物；素材；素質,main
468,468,comfort,快適さ；慰め,main
469,469,philosophy,哲学；原理；人生観,main
470,470,mammal,哺乳動物,main
471,471,quantity,量（⇔ quality ⇒ 69）；分量,main
472,472,landscape,風景；領域；状況,main
473,473,tribe,部族；仲間,main
474,474,organ,器官，臓器；組織；（パイプ）オルガン,main
475,475,trial,試み，（品質・性能などの）試験；裁判；試用期間,main
476,476,norm,規範；標準,main
477,477,code,規範；暗号；法典,main
478,478,substance,物質；実体；趣旨,main
479,479,multiple,多様な；種々雑多な,main
480,480,numerous,非常に数の多い,main
481,481,narrow,狭い；細い；限られた,main
482,482,widespread,広範囲にわたる；広く普及した,main
483,483,sufficient,（～に；…するのに）十分な（for；to do）,main
484,484,proper,適切な；正式の；〔名詞の後ろで〕主要な；（～に）固有の（to）,main
485,485,linguistic,言語の，言語学の,main
486,486,annual,年1回の，例年の；1年間の,main
487,487,contemporary,現代の；同時代の；同年輩の,main
488,488,contrary,（～と）反対の（to）,main
489,489,strict,（規則などが）厳しい；厳格な,main
490,490,civil,市民の；民間の；民事の（⇔ criminal 刑事の）,main
491,491,odd,奇妙な（≒ strange）；奇数の,main
492,492,unknown,不明の；（～に）知られていない（to），無名の,main
493,493,superior,よりすぐれた（⇔ inferior ⇒ 1092）,main
494,494,sensitive,敏感な；神経質な；微妙な,main
495,495,violent,（人・気質などが）激しい；暴力的な,main
496,496,virtual,仮想の；事実上の,main
497,497,regardless,（～に）かまわない，無頓着な（of）,main
498,498,immediate,即座の；当面の；すぐそばの；直接の,main
499,499,crucial,重要な,main
500,500,somewhat,いくぶん，多少,main
501,501,interpret,を解釈する；（を）通訳する,main
502,502,translate,を翻訳する；を（～に）変える（into）,main
503,503,concentrate,（を）集中する,main
504,504,request,に（…するように）頼む（to do）；を要請する,main
505,505,criticize,を批判する；を批評する,main
506,506,overcome,を克服する,main
507,507,obtain,を得る,main
508,508,inform,に知らせる；情報を提供する,main
509,509,ensure,を確実にする（≒ make sure）；を守る,main
510,510,announce,を発表［公表］する，知らせる；（物事が）を告げる,main
511,511,grant,（人）に（許可・権利など）を与える；を認める,main
512,512,freeze,凍る；を凍らせる；（計画・資金など）を凍結する,main
513,513,oppose,に反対する；を対抗［対比］させる,main
514,514,differ,異なる,main
515,515,hate,をひどく嫌う；を残念に思う,main
516,516,emphasize,を強調する；を重視する,main
517,517,employ,を雇う（≒ give ～ a job）；を使う（≒ use）,main
518,518,credit,（功績など）を（～に）帰する（to）；を信じる,main
519,519,transform,を変える；変わる,main
520,520,construct,を建設する（＝ build）；を構成する,main
521,521,arise,生じる,main
522,522,beat,を打ち負かす；（を）打つ，たたく,main
523,523,regret,を後悔する,main
524,524,alter,を変える；変わる（≒ change）,main
525,525,absorb,を吸収する；を併合する；を夢中にさせる,main
526,526,disappoint,を失望させる；（希望など）をくじく,main
527,527,cure,を治す；を取り除く；（病気が）治る,main
528,528,transport,を輸送する；を運ぶ,main
529,529,rush,急いで行く；性急に行動する；をせき立てる,main
530,530,hang,を掛ける；を絞首刑にする；垂れ（下が）る,main
531,531,blame,を責める；の責任を負わせる,main
532,532,ban,を（法的に）禁止する；を締め出す,main
533,533,fascinate,を魅了する,main
534,534,recover,回復する；を取り戻す,main
535,535,celebrate,を祝う；を挙行する,main
536,536,manufacture,を製造する；をでっち上げる,main
537,537,interact,影響し合う；相互に作用する,main
538,538,arrange,の段取りをつける；を手配する；を配置する,main
539,539,adjust,を調整する；を適合させる；順応する,main
540,540,confirm,を確認する；を裏づける,main
541,541,insight,見識，理解（力）；洞察力,main
542,542,innovation,革新；新機軸,main
543,543,budget,予算；経費,main
544,544,fee,料金；謝礼,main
545,545,expense,経費；費用；犠牲,main
546,546,debt,借金，負債；恩義,main
547,547,loan,貸付金，融資；貸すこと,main
548,548,duty,義務；〔しばしば～ties〕職務；関税,main
549,549,alarm,不安，恐れ；警報装置,main
550,550,emergency,緊急（事態）,main
551,551,democracy,民主主義，民主政治；民主国家,main
552,552,minister,大臣；（プロテスタント系の）聖職者,main
553,553,fellow,仲間，同僚；同級生；男,main
554,554,candidate,（～の）候補（者）（for）；志願者,main
555,555,corporation,（大）企業；法人,main
556,556,stereotype,固定観念；決まり文句,main
557,557,route,道（筋）；路線，ルート；（～の）手段（to）,main
558,558,disorder,障害，（心身の）不調；混乱,main
559,559,depression,憂うつ；うつ病；不況；低気圧,main
560,560,weapon,兵器，武器（≒ arms）,main
561,561,immigration,（他国からの）移民，移住；入国管理,main
562,562,barrier,（～に対する）障壁（against / to）；防壁,main
563,563,disadvantage,不利（な点）；障害；（信用などの）損失,main
564,564,mood,気分；機嫌；雰囲気,main
565,565,motion,動き，動作；運動；動議,main
566,566,routine,決まり切った仕事；いつもの手順,main
567,567,discipline,規律，しつけ；訓練；懲戒；学問分野,main
568,568,myth,作り話；神話,main
569,569,hypothesis,仮説；憶測,main
570,570,physician,【主に米】 医師（≒ doctor）；内科医,main
571,571,client,顧客（≒ customer）；（弁護士などの）依頼人,main
572,572,colony,植民地；集団居住地；（動植物の）コロニー,main
573,573,statistics,統計；統計学,main
574,574,grain,穀物；粒；きめ,main
575,575,ingredient,材料，成分；（成功の）要因,main
576,576,treasure,宝物，財宝；財産,main
577,577,contract,契約（書）；協定,main
578,578,welfare,福祉，幸福,main
579,579,prime,主要な，最も重要な；最適な；極上の,main
580,580,curious,好奇心の強い；奇妙な,main
581,581,dramatic,劇的な；演劇の,main
582,582,distinct,明らかに異なる；明瞭な,main
583,583,anxious,心配して；切望して,main
584,584,vital,必要不可欠な；活気のある；生命にかかわる,main
585,585,conventional,従来の；月並みな,main
586,586,abstract,抽象的な（⇔ concrete ⇒ 783）,main
587,587,minor,重要でない；小さい（⇔ major ⇒ 88）,main
